timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760538236185,820,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-20,text,true,,348,122,8,8,http://www.freshpack.com.bd/,820,0,0
1760538237006,1617,HTTP Request - 2-1,200,OK,Thread Group 1-20,text,true,,132335,118,8,8,https://freshpack.com.bd/,938,0,0
1760538234451,4345,HTTP Request - 2,200,OK,Thread Group 1-17,text,true,,132710,240,7,7,https://freshpack.com.bd/,1258,0,379
1760538234451,1258,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-17,text,true,,375,122,7,7,http://www.freshpack.com.bd/,1258,0,379
1760538235709,3087,HTTP Request - 2-1,200,OK,Thread Group 1-17,text,true,,132335,118,7,7,https://freshpack.com.bd/,1111,0,0
1760538235393,4215,HTTP Request - 1,200,OK,Thread Group 1-22,text,true,,132737,240,6,6,https://freshpack.com.bd/,1312,0,353
1760538235393,1312,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-22,text,true,,375,122,6,6,http://www.freshpack.com.bd/,1312,0,353
1760538236706,2902,HTTP Request - 1-1,200,OK,Thread Group 1-22,text,true,,132362,118,6,6,https://freshpack.com.bd/,1916,0,661
1760538237210,2536,HTTP Request - 2,200,OK,Thread Group 1-21,text,true,,132683,240,6,6,https://freshpack.com.bd/,1125,0,0
1760538237210,1125,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-21,text,true,,348,122,6,6,http://www.freshpack.com.bd/,1125,0,0
1760538238335,1411,HTTP Request - 2-1,200,OK,Thread Group 1-21,text,true,,132335,118,6,6,https://freshpack.com.bd/,764,0,0
1760538237378,3652,HTTP Request - 1,200,OK,Thread Group 1-23,text,true,,132737,240,5,5,https://freshpack.com.bd/,1266,0,333
1760538237378,1266,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-23,text,true,,375,122,5,5,http://www.freshpack.com.bd/,1266,0,333
1760538238646,2384,HTTP Request - 1-1,200,OK,Thread Group 1-23,text,true,,132362,118,5,5,https://freshpack.com.bd/,1406,0,656
1760538239611,2441,HTTP Request - 2,200,OK,Thread Group 1-22,text,true,,132683,240,5,5,https://freshpack.com.bd/,924,0,0
1760538239611,924,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-22,text,true,,348,122,5,5,http://www.freshpack.com.bd/,924,0,0
1760538240536,1516,HTTP Request - 2-1,200,OK,Thread Group 1-22,text,true,,132335,118,5,5,https://freshpack.com.bd/,844,0,0
1760538239383,4197,HTTP Request - 1,200,OK,Thread Group 1-24,text,true,,132737,240,4,4,https://freshpack.com.bd/,1348,0,359
1760538239383,1348,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-24,text,true,,375,122,4,4,http://www.freshpack.com.bd/,1348,0,359
1760538240732,2848,HTTP Request - 1-1,200,OK,Thread Group 1-24,text,true,,132362,118,4,4,https://freshpack.com.bd/,1686,0,704
1760538241033,3346,HTTP Request - 2,200,OK,Thread Group 1-23,text,true,,132683,240,4,4,https://freshpack.com.bd/,667,0,0
1760538241033,667,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-23,text,true,,348,122,4,4,http://www.freshpack.com.bd/,667,0,0
1760538241700,2679,HTTP Request - 2-1,200,OK,Thread Group 1-23,text,true,,132335,118,4,4,https://freshpack.com.bd/,1109,0,0
1760538241377,4367,HTTP Request - 1,200,OK,Thread Group 1-25,text,true,,132737,240,3,3,https://freshpack.com.bd/,1342,0,353
1760538241377,1342,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-25,text,true,,375,122,3,3,http://www.freshpack.com.bd/,1342,0,353
1760538242720,3024,HTTP Request - 1-1,200,OK,Thread Group 1-25,text,true,,132362,118,3,3,https://freshpack.com.bd/,1782,0,847
1760538245745,2316,HTTP Request - 2,200,OK,Thread Group 1-25,text,true,,132683,240,3,3,https://freshpack.com.bd/,679,0,0
1760538245745,679,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-25,text,true,,348,122,3,3,http://www.freshpack.com.bd/,679,0,0
1760538246424,1637,HTTP Request - 2-1,200,OK,Thread Group 1-25,text,true,,132335,118,3,3,https://freshpack.com.bd/,820,0,0
1760538243581,5811,HTTP Request - 2,200,OK,Thread Group 1-24,text,true,,132683,240,2,2,https://freshpack.com.bd/,865,0,0
1760538243581,865,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-24,text,true,,348,122,2,2,http://www.freshpack.com.bd/,865,0,0
1760538244447,4945,HTTP Request - 2-1,200,OK,Thread Group 1-24,text,true,,132335,118,2,2,https://freshpack.com.bd/,860,0,0
1760538202189,162962,HTTP Request - 2,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-2,text,false,,2777,0,1,1,http://www.freshpack.com.bd/,0,0,407
